Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,26.9275,26.952499,26.02,26.4275,24.807627,204702000
2016-11-15,26.6425,26.92,26.540001,26.7775,25.136171,129058000
2016-11-16,26.674999,27.557501,26.65,27.497499,25.812037,235362000
2016-11-17,27.452499,27.5875,27.2075,27.487499,25.802647,110528000
2016-11-18,27.43,27.635,27.415001,27.514999,25.828463,113715600
2016-11-21,27.530001,27.997499,27.502501,27.932501,26.220377,117058400
2016-11-22,27.987499,28.105,27.85,27.950001,26.236801,103862000
2016-11-23,27.84,27.877501,27.5825,27.807501,26.103043,109705600
2016-11-25,27.782499,27.967501,27.737499,27.9475,26.234457,45903600
2016-11-28,27.8575,28.1175,27.8475,27.8925,26.182827,108776000
2016-11-29,27.695,28.0075,27.5175,27.865,26.157011,114115200
2016-11-30,27.9,28.049999,27.567499,27.629999,25.936415,144649200
2016-12-01,27.592501,27.735001,27.2575,27.372499,25.6947,148347600
2016-12-02,27.2925,27.522499,27.2125,27.475,25.790918,106112000
2016-12-05,27.5,27.5075,27.0625,27.2775,25.60552,137298000
2016-12-06,27.375,27.59,27.297501,27.487499,25.802647,104782000
2016-12-07,27.315001,27.797501,27.290001,27.7575,26.056101,119994800
2016-12-08,27.715,28.1075,27.65,28.030001,26.311895,108273200
2016-12-09,28.077499,28.674999,28.077499,28.487499,26.741358,137610400
2016-12-12,28.3225,28.75,28.122499,28.325001,26.58882,105497600
2016-12-13,28.459999,28.98,28.4375,28.797501,27.032356,174935200
2016-12-14,28.76,29.049999,28.745001,28.797501,27.032356,136127200
2016-12-15,28.844999,29.182501,28.807501,28.955,27.180199,186098000
2016-12-16,29.1175,29.125,28.9125,28.9925,27.215397,177404400
2016-12-19,28.950001,29.344999,28.9375,29.16,27.372637,111117600
2016-12-20,29.184999,29.375,29.17,29.237499,27.445385,85700000
2016-12-21,29.200001,29.35,29.195,29.264999,27.471201,95132800
2016-12-22,29.0875,29.127501,28.91,29.0725,27.290495,104343600
2016-12-23,28.897499,29.129999,28.897499,29.129999,27.344471,56998000
2016-12-27,29.129999,29.450001,29.122499,29.315001,27.518135,73187600
2016-12-28,29.379999,29.504999,29.049999,29.190001,27.400797,83623600
2016-12-29,29.112499,29.2775,29.1,29.182501,27.393753,60158000
2016-12-30,29.1625,29.299999,28.8575,28.955,27.180199,122345200
2017-01-03,28.950001,29.0825,28.690001,29.0375,27.257652,115127600
2017-01-04,28.9625,29.127501,28.9375,29.004999,27.227137,84472400
2017-01-05,28.98,29.215,28.952499,29.1525,27.365595,88774400
2017-01-06,29.195,29.540001,29.1175,29.477501,27.670673,127007600
2017-01-09,29.487499,29.8575,29.485001,29.747499,27.924124,134247600
2017-01-10,29.692499,29.844999,29.575001,29.7775,27.952288,97848400
2017-01-11,29.684999,29.9825,29.65,29.9375,28.102478,110354400
2017-01-12,29.725,29.825001,29.5525,29.8125,27.985138,108344800
2017-01-13,29.7775,29.905001,29.702499,29.76,27.935858,104447600
2017-01-17,29.584999,30.059999,29.555,30,28.161146,137759200
2017-01-18,30,30.125,29.9275,29.997499,28.1588,94852000
2017-01-19,29.85,30.022499,29.842501,29.945,28.109514,102389200
2017-01-20,30.112499,30.112499,29.932501,30,28.161146,130391600
2017-01-23,30,30.202499,29.942499,30.02,28.179924,88200800
2017-01-24,29.887501,30.025,29.875,29.9925,28.154108,92844000
2017-01-25,30.105,30.525,30.07,30.469999,28.602337,129510400
2017-01-26,30.4175,30.610001,30.4,30.485001,28.616419,105350400
2017-01-27,30.535,30.5875,30.4,30.487499,28.618769,82251600
